"","colors","POS","CIGAR","TLEN"
"91",99,16252,"4S71M",261
"92",99,16440,"17S58M",422
"93",99,16796,"44S31M",171
"94",163,16856,"8S67M",253
"95",163,16834,"39S36M",422
"96",163,17102,"6S69M",208
"97",163,16990,"4S71M",357
"98",163,17379,"1S74M",177
"99",163,17665,"54S21M",163
"100",99,17867,"32S43M",196
"101",163,18212,"35S40M",263
"102",99,18322,"30S45M",192
"103",99,18451,"31S44M",284
"104",163,18724,"8S67M",187
"105",163,18774,"8S67M",146
"106",163,18854,"9S66M",148
"107",99,19204,"43S32M",221
"108",163,19312,"8S67M",217
"109",163,19351,"1S74M",192
"110",99,19417,"4S71M",172
"111",163,19340,"33S42M",324
"112",99,19584,"50S25M",150
"113",99,19448,"32S43M",296
"114",163,19485,"2S73M",335
"115",99,19703,"4S71M",162
"116",99,19722,"32S43M",252
"117",163,19776,"4S71M",224
"118",163,19812,"11S64M",186
"119",99,19868,"32S43M",215
"120",163,20010,"6S69M",171
"121",163,20011,"2S73M",189
"122",163,19866,"2S73M",335
"123",163,20121,"3S72M",195
"124",163,20276,"21S54M",142
"125",99,20222,"31S44M",230
"126",163,20351,"6S69M",184
"127",163,20412,"40S35M",206
"128",163,20487,"19S56M",198
"129",163,20800,"3S72M",293
"130",99,20986,"4S71M",217
"131",99,21033,"32S43M",236
"132",163,21243,"2S73M",184
"133",99,21465,"32S43M",151
"134",99,21459,"43S32M",241
"135",99,21459,"32S43M",282
"136",163,21550,"3S72M",192
"137",163,21696,"8S67M",310
"138",163,22122,"23S52M",167
"139",163,22093,"2S73M",235
"140",163,22217,"5S70M",158
"141",163,21968,"39S36M",423
"142",163,22283,"3S72M",167
"143",163,22415,"17S58M",176
"144",99,22437,"4S71M",214
"145",99,22725,"11S64M",168
"146",163,22659,"2S73M",293
"147",163,22552,"14S61M",424
"148",163,22886,"16S59M",173
"149",163,23076,"9S66M",210
"150",99,23267,"32S43M",212
"151",99,23356,"32S43M",172
"152",99,23383,"32S43M",273
"153",99,23478,"13S62M",264
"154",163,23483,"7S68M",326
"155",163,24050,"8S67M",236
"156",163,24252,"11S64M",379
"157",99,29442,"32S43M",287
"158",163,29538,"4S71M",196
"159",163,29524,"11S64M",251
"160",163,29695,"2S73M",218
"161",163,29685,"2S73M",232
"162",163,29629,"2S73M",337
"163",163,29849,"8S67M",179
"164",99,29859,"32S43M",175
"165",99,29949,"30S45M",200
"166",163,29926,"15S60M",230
"167",99,30606,"4S71M",204
"168",99,30705,"32S43M",196
"169",163,30669,"8S67M",235
"170",163,30626,"23S52M",284
"171",163,30503,"11S64M",424
"172",163,30691,"1S74M",212
"173",99,30909,"12S63M",181
"174",99,30886,"32S43M",212
"175",163,30827,"4S71M",277
"176",163,30766,"3S72M",339
"177",163,30902,"1S74M",205
"178",163,30878,"20S55M",327
"179",163,31083,"1S74M",289
"180",163,31159,"7S68M",232
"181",99,31334,"4S71M",186
"182",163,31223,"2S73M",309
"183",163,31486,"7S68M",143
"184",163,31636,"4S71M",193
"185",99,32116,"31S44M",309
"186",163,32116,"10S65M",316
"187",163,32116,"15S60M",314
"188",99,32331,"48S27M",154
"189",99,32586,"4S71M",202
"190",163,32404,"16S59M",424
"191",99,32719,"32S43M",175
"192",99,32903,"4S71M",150
"193",99,32823,"32S43M",240
"194",99,32839,"4S71M",235
"195",99,32908,"32S43M",246
"196",99,32944,"32S43M",324
"197",163,32946,"3S72M",326
"198",163,33101,"3S72M",204
"199",163,33371,"1S74M",198
"200",99,33425,"4S71M",204
"201",163,31612,"23S52M",238
"202",163,33537,"1S64M1D10M",189
"203",163,33390,"2S73M",338
"204",99,33363,"4S71M",388
"205",99,33612,"4S71M",169
"206",163,33360,"45S30M",424
"207",99,33569,"31S44M",243
"208",163,33435,"6S69M",424
"209",163,33527,"3S72M",383
"210",163,33745,"2S73M",204
"211",163,33769,"2S73M",234
"212",99,34033,"1S74M",195
"213",163,34062,"8S67M",188
"214",99,33998,"4S71M",257
"215",163,34186,"15S60M",423
"216",163,34636,"28S47M",193
"217",163,34808,"3S72M",215
"218",163,34850,"10S65M",203
"219",99,35134,"32S43M",424
"220",163,35219,"3S72M",381
"221",163,35550,"1S74M",241
"222",99,35555,"32S43M",291
"223",99,36010,"4S71M",168
"224",163,35967,"4S71M",218
"225",163,35861,"8S67M",372
"226",163,36069,"5S70M",243
"227",163,36071,"1S74M",262
"228",163,36198,"2S73M",168
"229",163,36173,"7S68M",224
"230",163,36179,"3S72M",290
"231",99,36255,"4S71M",214
"232",163,36231,"2S73M",324
"233",99,36571,"26S49M",208
"234",99,36624,"32S43M",208
"235",163,36709,"22S53M",197
"236",163,36841,"12S63M",293
"237",163,36926,"30S45M",240
"238",163,36980,"44S31M",220
"239",99,36995,"3S72M",322
"240",163,37169,"20S55M",148
"241",163,37196,"1S74M",303
"242",163,37288,"5S70M",238
"243",163,37696,"3S72M",201
"244",99,37728,"13S62M",206
"245",163,37703,"4S71M",228
"246",99,37867,"32S43M",158
"247",99,38274,"4S71M",235
"248",163,38504,"1S74M",184
"249",99,38571,"4S71M",201
"250",99,38721,"4S71M",272
"251",99,38693,"4S71M",307
"252",163,38744,"8S67M",360
"253",99,38974,"1S74M",156
"254",163,39066,"2S73M",205
"255",99,39281,"4S71M",282
"256",163,39302,"4S71M",362
"257",163,39359,"2S73M",407
"258",99,39572,"29S46M",208
"259",163,39536,"3S72M",263
"260",163,39560,"2S73M",294
"261",163,39616,"6S69M",374
"262",99,39758,"4S71M",240
"263",163,39670,"2S73M",347
"264",99,40053,"32S43M",236
"265",163,40169,"5S70M",195
"266",163,40241,"29S46M",418
"267",163,40801,"1S74M",186
"268",99,40807,"1S74M",198
"269",163,40698,"8S67M",331
"270",163,40753,"8S67M",374
"271",99,40999,"54S21M",135
"272",163,40991,"3S72M",197
"273",163,41023,"7S68M",183
"274",99,41156,"30S45M",181
"275",99,41165,"29S46M",229
"276",99,41229,"4S71M",181
"277",99,41267,"29S46M",197
"278",163,41241,"1S74M",270
"279",163,41273,"9S66M",312
"280",99,41441,"30S45M",183
"281",99,41587,"30S45M",183
"282",99,41655,"4S71M",220
"283",163,41723,"3S72M",280
"284",99,41793,"4S71M",225
"285",163,41773,"1S74M",247
"286",99,41854,"32S43M",234
"287",163,41863,"5S70M",325
"288",163,42286,"10S65M",423
"289",163,42406,"2S73M",397
"290",163,42596,"47S28M",244
"291",99,43020,"4S71M",147
"292",163,43019,"1S74M",191
"293",163,42786,"33S42M",426
"294",163,43182,"48S27M",144
"295",163,43065,"26S49M",296
"296",163,43316,"4S71M",257
"297",163,43306,"1S74M",335
"298",163,43330,"7S68M",298
"299",99,43559,"4S71M",239
"300",163,43574,"10S65M",344
"301",163,43780,"10S65M",214
"302",99,43974,"18S57M",254
"303",163,43901,"4S71M",419
"304",163,43931,"2S73M",426
"305",163,44081,"10S65M",346
"306",163,44334,"5S70M",170
"307",99,44284,"4S71M",264
"308",99,44426,"6S69M",192
"309",163,44490,"6S69M",201
"310",163,44500,"1S74M",294
"311",163,44653,"26S49M",191
"312",163,44747,"25S50M",217
"313",99,45005,"32S43M",162
"314",163,45073,"4S71M",178
"315",99,45059,"29S46M",235
"316",163,45318,"4S71M",348
"317",163,45606,"19S56M",150
"318",163,45478,"1S74M",301
"319",99,45949,"32S43M",118
"320",99,45854,"32S43M",237
"321",99,45981,"4S71M",340
"322",163,46107,"12S63M",422
"323",163,46194,"3S72M",419
"324",99,46866,"32S43M",264
"325",163,47193,"21S54M",133
"326",163,47069,"1S74M",292
"327",99,47592,"24S51M",135
"328",163,47308,"12S63M",426
"329",163,47537,"4S71M",265
"330",163,47487,"15S60M",426
"331",163,47869,"5S70M",233
"332",163,48072,"2S73M",193
"333",163,48032,"2S73M",273
"334",163,48250,"10S65M",225
"335",99,48356,"11S64M",248
"336",163,48534,"8S67M",148
"337",163,48446,"2S73M",312
"338",163,48694,"19S56M",135
"339",163,48694,"30S45M",288
"340",99,48832,"32S43M",209
"341",163,48852,"14S61M",256
"342",163,49083,"8S67M",204
"343",99,49125,"32S43M",217
"344",163,49099,"12S63M",287
"345",163,49114,"1S74M",307
"346",163,49018,"31S44M",407
"347",99,49215,"29S46M",214
"348",163,49359,"31S44M",162
"349",163,49450,"11S64M",286
"350",163,49315,"7S68M",424
"351",163,49466,"2S73M",352
"352",163,49617,"2S73M",331
"353",99,50032,"30S45M",188
"354",163,49853,"4S71M",371
"355",163,50008,"11S64M",251
"356",99,50019,"9S66M",248
"357",163,50178,"9S66M",262
"358",99,50616,"43S32M",121
"359",163,50342,"45S30M",426
"360",163,50552,"6S69M",229
"361",163,50503,"1S74M",288
"362",163,50601,"4S71M",235
"363",163,50806,"12S63M",187
"364",99,50775,"32S43M",234
"365",163,50853,"2S73M",214
"366",163,51644,"17S58M",287
"367",99,52056,"30S45M",131
"368",99,51962,"32S43M",225
"369",99,52495,"27S48M",176
"370",99,52746,"32S43M",156
"371",163,52907,"18S57M",216
"372",163,52806,"3S72M",343
"373",163,52836,"18S57M",316
"374",163,52947,"44S31M",190
"375",163,52781,"39S36M",426
"376",163,52869,"2S73M",426
"377",163,53427,"3S72M",404
"378",163,53418,"8S67M",422
"379",163,53750,"35S40M",148
"380",163,53507,"24S51M",426
"381",163,53802,"6S69M",181
"382",99,53765,"8S67M",258
"383",163,53797,"41S34M",424
"384",99,53984,"31S44M",246
"385",163,54200,"4S71M",229
"386",163,54189,"17S58M",307
"387",163,54179,"4S71M",330
"388",163,54235,"5S70M",305
"389",163,54549,"1S74M",203
"390",163,54592,"9S66M",249
"391",163,54707,"5S70M",203
"392",99,54742,"4S71M",205
"393",163,55029,"46S29M",155
"394",163,54947,"17S58M",248
"395",163,54905,"9S66M",314
"396",163,54998,"4S71M",263
"397",163,55119,"1S74M",199
"398",163,55054,"8S67M",421
"399",99,55302,"32S43M",174
"400",163,55139,"1S74M",373
"401",99,55485,"13S62M",146
"402",163,55651,"3S72M",156
"403",163,55585,"8S67M",224
"404",163,55514,"8S67M",307
"405",163,55412,"40S35M",425
"406",99,55673,"32S43M",193
"407",99,55757,"4S71M",276
"408",163,55854,"26S49M",258
"409",163,56073,"13S62M",197
"410",163,55988,"10S65M",376
"411",163,56147,"30S45M",241
"412",99,56155,"4S71M",269
"413",163,56340,"1S74M",206
"414",163,56246,"2S73M",381
"415",163,56989,"4S71M",289
"416",99,57153,"11S64M",248
"417",163,57254,"24S51M",157
"418",163,57546,"4S71M",257
"419",163,57465,"14S61M",426
"420",99,58027,"32S43M",231
"421",163,58147,"22S53M",181
"422",163,58159,"5S70M",195
"423",163,58198,"4S71M",360
"424",99,58491,"31S44M",172
"425",99,58505,"46S29M",162
"426",99,58321,"51S24M",426
"427",163,58498,"1S74M",256
"428",99,58663,"34S41M",137
"429",163,58636,"4S71M",182
"430",163,58622,"8S67M",204
"431",99,58700,"31S44M",179
"432",99,58755,"32S43M",179
"433",163,58518,"1S74M",426
"434",163,58733,"1S74M",292
"435",163,58731,"1S74M",391
"436",163,59020,"22S53M",253
"437",99,59155,"32S43M",222
"438",163,59240,"24S51M",186
"439",163,59242,"8S67M",252
"440",99,59366,"4S71M",172
"441",163,59460,"1S74M",159
"442",163,59464,"2S73M",355
"443",163,59507,"1S74M",365
"444",163,59596,"2S73M",297
"445",163,59533,"3S72M",377
"446",163,59991,"4S71M",241
"447",163,60142,"2S73M",207
"448",99,60278,"32S43M",220
"449",163,60607,"19S56M",426
"450",163,61099,"4S71M",175
"451",163,61106,"4S71M",214
"452",163,60918,"32S43M",419
"453",99,61087,"4S71M",273
"454",163,61130,"7S68M",265
"455",163,61264,"2S73M",225
"456",99,61423,"32S43M",234
"457",163,61359,"51S24M",426
"458",99,61745,"4S71M",216
"459",99,61768,"12S63M",201
"460",163,61708,"4S71M",289
"461",163,61670,"4S71M",346
"462",99,61805,"4S71M",226
"463",163,61841,"2S73M",261
"464",163,61917,"1S74M",215
"465",99,61964,"4S71M",189
"466",163,61892,"26S49M",329
"467",99,62386,"4S71M",202
"468",163,62285,"4S71M",301
"469",163,62429,"4S71M",364
"470",163,62826,"2S73M",179
"471",163,62783,"5S70M",342
"472",163,63062,"13S62M",162
"473",163,63409,"10S65M",182
"474",163,63560,"8S67M",168
"475",163,63811,"10S65M",187
"476",163,63963,"1S74M",228
"477",163,63995,"50S25M",212
"478",163,63992,"7S68M",316
"479",163,64225,"6S69M",155
"480",99,64164,"4S71M",281
"481",99,64314,"4S71M",194
"482",163,64227,"11S64M",332
"483",163,64349,"8S67M",239
"484",163,64429,"1S27M2D47M",240
"485",99,64508,"9S66M",246
"486",163,64406,"10S65M",383
"487",99,64469,"5S70M",349
"488",99,64745,"31S44M",161
"489",163,64613,"1S74M",417
"490",99,65092,"32S43M",183
"491",163,65122,"51S24M",160
"492",163,65048,"28S47M",254
"493",99,65172,"4S71M",169
"494",99,65124,"4S71M",324
"495",163,65110,"8S67M",346
"496",163,65337,"30S45M",219
"497",163,65439,"25S50M",127
"498",163,65317,"4S71M",256
"499",163,65619,"9S66M",182
"500",99,65719,"4S71M",186
"501",163,65875,"2S73M",239
"502",99,65872,"4S71M",247
"503",163,65769,"2S73M",374
"504",99,66003,"32S43M",165
"505",99,66171,"32S43M",195
"506",99,66228,"10S65M",145
"507",163,66780,"20S55M",230
"508",163,66894,"47S28M",128
"509",99,66609,"9S66M",426
"510",163,66916,"31S44M",131
"511",163,67156,"15S60M",185
"512",163,67265,"1S74M",181
"513",163,67297,"20S55M",150
"514",99,67320,"6S69M",196
"515",163,67483,"2S73M",211
"516",163,67592,"24S51M",149
"517",163,67596,"1S74M",169
"518",163,67469,"12S63M",329
"519",163,67611,"2S73M",335
"520",163,67749,"3S72M",244
"521",163,67915,"20S55M",168
"522",99,68175,"51S24M",215
"523",99,68386,"4S71M",199
"524",163,68481,"8S67M",159
"525",163,68696,"8S67M",247
"526",99,68715,"4S71M",256
"527",163,68842,"1S74M",314
"528",163,69265,"5S70M",250
"529",99,69402,"32S43M",165
"530",99,69426,"4S71M",237
"531",99,69531,"10S65M",148
"532",99,69779,"24S51M",218
"533",99,69772,"4S71M",277
"534",163,69661,"4S71M",426
"535",99,69798,"4S71M",321
"536",163,70005,"4S71M",195
"537",99,70376,"31S44M",205
"538",99,70600,"12S63M",209
"539",99,70705,"32S43M",127
"540",99,70981,"4S71M",157
"541",163,71114,"1S74M",274
"542",163,71194,"30S45M",208
"543",163,70992,"27S48M",426
"544",163,71267,"25S50M",166
"545",99,71225,"32S43M",210
"546",163,71467,"3S72M",245
"547",99,71624,"49S26M",157
"548",99,71911,"10S65M",314
"549",163,71962,"4S71M",286
"550",99,72095,"4S71M",161
"551",163,72172,"3S72M",317
"552",163,72150,"49S26M",421
"553",163,72315,"8S67M",275
"554",163,72607,"21S54M",426
"555",99,72829,"22S53M",374
"556",163,73034,"1S74M",240
"557",99,73028,"3S72M",266
"558",99,73080,"4S71M",235
"559",163,73208,"9S66M",160
"560",163,73245,"3S72M",271
"561",163,73312,"4S71M",291
"562",163,73363,"1S74M",219
"563",99,73884,"4S71M",166
"564",163,73635,"7S68M",426
"565",163,73907,"9S66M",179
"566",163,73833,"1S74M",310
"567",163,74053,"1S74M",174
"568",99,74024,"31S44M",268
"569",163,74106,"14S61M",294
"570",99,74342,"4S71M",150
"571",163,74278,"4S71M",285
"572",163,74558,"3S72M",247
"573",163,74481,"1S74M",327
"574",163,74775,"47S28M",421
"575",99,75256,"32S43M",264
"576",163,75321,"3S72M",268
"577",163,75535,"25S50M",203
"578",163,75354,"11S64M",426
"579",163,75751,"37S38M",220
"580",163,75668,"2S73M",320
"581",163,75656,"27S48M",426
"582",163,75839,"31S44M",251
"583",163,75816,"1S74M",283
"584",163,75896,"6S69M",243
"585",99,76017,"54S21M",190
"586",163,75823,"46S29M",415
"587",163,76305,"6S69M",426
"588",163,76705,"4S71M",189
"589",163,76815,"43S32M",132
"590",163,76852,"6S69M",209
"591",99,76867,"4S71M",195
"592",99,76907,"32S43M",292
"593",163,77084,"2S73M",260
"594",163,77145,"5S70M",228
"595",163,77265,"8S67M",192
"596",163,77350,"8S67M",193
"597",99,77433,"26S49M",232
"598",163,77254,"15S60M",426
"599",163,77453,"3S72M",264
"600",163,77314,"1S74M",396
"601",99,77396,"4S71M",385
"602",163,77482,"2S73M",300
"603",163,77690,"10S65M",182
"604",99,77618,"12S63M",291
"605",163,77741,"4S71M",263
"606",163,77984,"4S71M",352
"607",163,78420,"6S69M",251
"608",163,78457,"8S67M",235
"609",163,78665,"6S69M",278
"610",163,78906,"3S72M",186
"611",163,78871,"3S72M",301
"612",99,79020,"4S71M",160
"613",99,78979,"4S71M",216
"614",99,79048,"32S43M",159
"615",163,79105,"4S71M",222
"616",163,79209,"7S68M",156
"617",163,79201,"12S63M",303
"618",163,79215,"21S54M",368
"619",99,79448,"4S71M",166
"620",163,79444,"2S73M",309
"621",163,79861,"31S44M",426
"622",163,80172,"53S22M",126
"623",163,80104,"3S72M",266
"624",163,80360,"3S72M",278
"625",163,80649,"4S71M",182
"626",163,80894,"33S42M",181
"627",99,80922,"33S42M",278
"628",163,81015,"1S74M",243
"629",99,81186,"32S43M",138
"630",163,81041,"11S64M",288
"631",99,81109,"4S71M",240
"632",163,81215,"22S53M",217
"633",163,81368,"1S74M",236
"634",163,81466,"21S54M",193
"635",163,81464,"1S43M2D31M",196
"636",163,81414,"2S73M",310
"637",163,81380,"4S71M",387
"638",163,81681,"2S73M",342
"639",163,81923,"4S71M",185
"640",163,82076,"4S71M",277
"641",163,82089,"17S58M",328
"642",99,82278,"1S74M",177
"643",163,82158,"4S71M",380
"644",163,82724,"3S72M",171
"645",99,82789,"4S71M",184
"646",163,82981,"28S47M",124
"647",99,83386,"30S45M",128
"648",163,83414,"3S72M",192
"649",163,83432,"8S67M",285
"650",99,83805,"4S71M",200
"651",163,83698,"3S72M",330
"652",163,83821,"2S73M",186
"653",163,84071,"8S67M",230
"654",99,84118,"6S69M",274
"655",99,84260,"30S45M",165
"656",99,84393,"28S47M",173
"657",163,84383,"20S55M",204
"658",99,84386,"4S71M",217
"659",99,84205,"50S25M",426
"660",99,84472,"32S43M",210
"661",163,84511,"4S71M",203
"662",99,84595,"32S43M",171
"663",163,84626,"6S69M",232
"664",163,84924,"50S25M",176
"665",163,85375,"20S55M",151
"666",99,85487,"24S51M",424
"667",99,85771,"4S71M",149
"668",99,85868,"2S73M",209
"669",99,85886,"4S71M",208
"670",163,85857,"11S64M",282
"671",163,86057,"35S40M",184
"672",163,86086,"4S71M",194
"673",163,86187,"14S61M",159
"674",163,86129,"55S20M",243
"675",99,86406,"4S71M",199
"676",99,86334,"29S46M",273
"677",163,86293,"2S73M",334
"678",163,86316,"32S43M",312
"679",99,86533,"32S43M",203
"680",163,86577,"23S52M",187
"681",163,86522,"1S74M",370
"682",163,86690,"26S49M",205
"683",163,86790,"3S72M",277
"684",163,86740,"6S69M",385
"685",163,86895,"5S70M",236
"686",163,87330,"2S73M",176
"687",163,88377,"3S72M",381
"688",163,88533,"8S67M",310
"689",99,88916,"4S71M",165
"690",163,88892,"2S73M",274
"691",99,89070,"32S43M",248
"692",99,89331,"8S67M",184
"693",99,89412,"32S43M",169
"694",163,89365,"9S66M",230
"695",163,89370,"42S33M",429
"696",163,89692,"11S64M",178
"697",99,89816,"27S48M",196
"698",99,89849,"4S71M",212
"699",163,89687,"1S74M",422
"700",99,89895,"32S43M",411
"701",163,90175,"1S74M",253
"702",163,90169,"1S74M",291
"703",163,90250,"2S73M",237
"704",163,90191,"2S73M",374
"705",99,90461,"32S43M",181
"706",163,90498,"41S34M",431
"707",163,90793,"19S56M",160
"708",163,90652,"9S66M",317
"709",99,91049,"9S66M",190
"710",163,90840,"8S67M",364
"711",163,90964,"29S46M",307
"712",99,91144,"4S71M",199
"713",99,91140,"4S71M",206
"714",163,90954,"38S37M",396
"715",163,90954,"15S60M",429
"716",163,91190,"14S61M",290
"717",163,91550,"4S71M",185
"718",163,91712,"25S50M",426
"719",99,92049,"4S71M",196
"720",163,92389,"41S34M",140
"721",163,92365,"54S21M",271
"722",99,92601,"4S71M",288
"723",163,92673,"3S72M",242
"724",99,92810,"50S25M",111
"725",99,93104,"4S71M",156
"726",163,92968,"7S68M",315
"727",99,93150,"4S71M",268
"728",163,93272,"30S45M",240
"729",99,93346,"31S44M",186
"730",163,93394,"31S44M",173
"731",99,93703,"20S55M",307
"732",99,93844,"32S43M",187
"733",163,93674,"4S71M",362
"734",99,93941,"4S71M",169
"735",163,93958,"2S73M",167
"736",163,94197,"13S62M",180
"737",163,94479,"26S49M",139
"738",99,94508,"4S71M",229
"739",163,94638,"1S74M",158
"740",163,94517,"5S70M",342
"741",163,95044,"31S44M",207
"742",163,95428,"6S69M",153
"743",163,95572,"1S74M",273
"744",99,95630,"32S43M",260
"745",163,95596,"12S63M",397
"746",163,95726,"8S67M",313
"747",163,95934,"14S61M",151
"748",163,95876,"8S67M",298
"749",163,96185,"1S74M",192
"750",99,96284,"32S43M",217
"751",163,96281,"2S73M",358
"752",163,96442,"8S67M",221
"753",163,96568,"8S67M",230
"754",163,96731,"2S73M",179
"755",163,96761,"4S71M",160
"756",163,96707,"3S72M",241
"757",99,96770,"4S71M",274
"758",163,96757,"3S72M",342
"759",99,97015,"30S45M",184
"760",163,97133,"12S63M",182
"761",163,97266,"6S69M",341
"762",99,97582,"4S71M",170
"763",99,97676,"4S71M",258
"764",163,97845,"4S71M",327
"765",99,98054,"55S20M",149
"766",99,98101,"32S43M",192
"767",163,98249,"4S71M",173
"768",163,98236,"4S71M",191
"769",163,98283,"2S73M",173
"770",163,98829,"26S49M",229
"771",163,98767,"7S68M",339
"772",163,99027,"28S47M",134
"773",163,98850,"42S33M",428
"774",163,99161,"19S56M",187
"775",99,99371,"32S43M",228
"776",99,99417,"4S71M",203
"777",163,99575,"35S40M",424
"778",99,99791,"32S43M",246
"779",99,100029,"17S58M",260
"780",163,100048,"36S39M",202
"781",99,100160,"30S45M",134
"782",163,100004,"5S70M",368
"783",99,100109,"38S37M",306
"784",163,100339,"3S72M",305
"785",163,100442,"1S74M",178
"786",99,100501,"25S50M",209
"787",163,100593,"5S70M",156
"788",163,100467,"7S68M",292
"789",163,100630,"4S71M",270
"790",163,100684,"4S71M",300
"791",99,100986,"4S71M",149
"792",99,100954,"34S41M",182
"793",163,100972,"11S64M",170
"794",99,101145,"4S71M",226
"795",163,101149,"5S70M",297
"796",99,101332,"32S43M",235
"797",99,101589,"4S71M",196
"798",163,101635,"7S68M",235
"799",99,101798,"31S44M",245
"800",99,102103,"4S71M",191
"801",163,102595,"5S70M",153
"802",163,102637,"2S73M",232
"803",163,102471,"1S74M",430
"804",163,102753,"1S74M",162
"805",163,102628,"3S72M",295
"806",163,102765,"3S72M",250
"807",163,102867,"2S73M",282
"808",163,102814,"1S74M",338
"809",163,102889,"7S68M",269
"810",99,103565,"32S43M",167
"811",163,103591,"9S66M",177
"812",99,103626,"4S71M",177
"813",163,103424,"52S23M",431
"814",99,103718,"4S71M",172
"815",163,103518,"4S71M",422
"816",99,103743,"4S71M",204
"817",99,103900,"28S47M",165
"818",99,103898,"29S46M",173
"819",99,104021,"32S43M",140
"820",163,103903,"1S74M",293
"821",99,104016,"46S29M",292
"822",99,104142,"4S71M",293
"823",163,104412,"28S47M",177
"824",163,104873,"2S73M",230
"825",163,105820,"22S53M",142
"826",163,105755,"2S73M",265
"827",163,106034,"3S72M",184
"828",163,105965,"11S64M",340
"829",99,106368,"6S69M",258
"830",99,106606,"4S71M",180
"831",163,106641,"9S66M",240
"832",163,106625,"5S70M",430
"833",163,106662,"2S73M",431
"834",99,106951,"32S43M",156
"835",99,107398,"32S43M",156
"836",99,107472,"4S71M",318
"837",99,107883,"32S43M",145
"838",99,107873,"4S71M",380
"839",163,108328,"13S62M",145
"840",163,108155,"5S70M",326
"841",163,108328,"1S74M",302
"842",163,108448,"21S54M",214
"843",163,108675,"18S57M",320
"844",163,108859,"1S27M1D47M",231
"845",163,109051,"6S69M",151
"846",163,109067,"12S63M",172
"847",99,109087,"31S44M",212
"848",163,109123,"7S68M",214
"849",99,109247,"31S44M",206
"850",163,109405,"14S61M",137
"851",99,109468,"4S71M",212
"852",99,109525,"32S43M",165
"853",163,109701,"2S73M",354
"854",163,109926,"7S68M",188
"855",99,110196,"32S43M",164
"856",163,110190,"8S67M",170
"857",163,109996,"10S65M",429
"858",99,110221,"7S68M",238
"859",163,110240,"1S74M",258
"860",163,110158,"17S58M",433
"861",163,110445,"3S72M",176
"862",163,110528,"48S27M",142
"863",163,110327,"3S72M",346
"864",163,110592,"4S71M",216
"865",99,110759,"4S71M",174
"866",163,110713,"11S64M",260
"867",163,110844,"5S70M",163
"868",163,110854,"2S73M",304
"869",99,111010,"32S43M",168
"870",163,110927,"9S66M",282
"871",99,111163,"32S43M",191
"872",99,111190,"7S68M",196
